Quest Title,Type,Objectives,Rewards,Required for Kappa
Prapor,,,,
Quest,Type,,,Objectives
Shooting Cans,Completion,"Locate the Utyos machine gun on Ground Zero
Locate the AGS grenade launcher on Ground Zero
Eliminate any 5 targets on Ground Zero","+1,600 EXP
Prapor Rep +0.01
13,000 Roubles
1× Mosin 7.62x54R bolt-action rifle (Infantry)
3× 7.62x54mm R FMJ ammo pack (20 pcs)",No
Debut,Elimination,"Eliminate 5 Scavs all over the Tarkov territory
Obtain and hand over 2 MP-133 12ga shotguns","+1,700 EXP
Prapor Rep +0.02
Jaeger Rep +0.01
15,000 Roubles
1× PP-91 ""Kedr"" 9x18PM submachine gun
60× 9x18mm PM BZhT gzh
Unlocks purchase of Kalashnikov AKS-74UB 5.45x39 assault rifle at Prapor LL1",Yes
Search Mission,Exploration,"Find Prapor's missing convoy on Woods
Locate the temporary USEC camp
Survive and extract from the location","+2,800 EXP
Prapor Rep +0.02
22,000 Roubles
1× EYE MK.2 professional hand-held compass
1× Woods plan map
Unlocks purchase of NPP KlASS Kora-Kulon body armor (Digital Flora) at Prapor LL1",Yes
Background Check,PickUp,"Obtain the Bronze pocket watch on Customs
(Optional) Obtain the key to the fuel tanker truck
Hand over the Bronze pocket watch to Prapor","+1,800 EXP
Prapor Rep +0.03
15,000 Roubles
1× Simonov SKS 7.62x39 carbine
60× 7.62x39mm PS gzh",Yes
Shootout Picnic,Elimination,Eliminate 15 Scavs on Woods,"+2,000 EXP
Prapor Rep +0.03
Jaeger Rep +0.01
20,000 Roubles
1× Kalashnikov AKS-74UN 5.45x39 assault rifle
3× AK-74 5.45x39 6L20 30-round magazine
90× 5.45x39mm PP gs
Unlocks purchase of Lebedev PL-15 9x19 pistol at Prapor LL1
Unlocks purchase of 6B5-16 Zh-86 Uley armored rig at Prapor LL2",Yes
Delivery from the Past,PickUp,"Obtain the secure folder in the Tarcone Director's office at the Customs terminal warehouse
Stash the package in the Factory break room (2nd floor near Gate 3)
Survive and extract from Factory","+4,000 EXP
Prapor Rep +0.03
20,000 Roubles
1× Saiga 12ga ver.10 12/76 semi-automatic shotgun
4× SOK-12 12/76 sb.5 5-round magazine
40× 12/70 7mm buckshot
Unlocks purchase of 5.45x39mm FMJ at Prapor LL1",Yes
BP Depot,Discovery,"Mark the first fuel tank with an MS2000 Marker on Customs
Mark the second fuel tank with an MS2000 Marker on Customs
Mark the third fuel tank with an MS2000 Marker on Customs
Mark the fourth fuel tank with an MS2000 Marker on Customs
Survive and extract from the location","+2,800 EXP
Prapor Rep +0.03
Jaeger Rep -0.01
30,000 Roubles
2× Expeditionary fuel tank
Unlocks purchase of PP-9 ""Klin"" 9x18PMM submachine gun at Prapor LL1",Yes
The Bunker - Part 1,Completion,"Find the underground bunker
Locate the control room in the underground bunker
Survive and extract from the location","+5,700 EXP
Prapor Rep +0.03
20,000 Roubles
1× SR-2M ""Veresk"" 9x21 submachine gun
80x 9x21mm BT gzh
3x SR-2M 9x21 20-round magazine
Unlocks purchase of 9x21mm PS gzh at Prapor LL2",Yes
The Bunker - Part 2,Completion,"Locate the hermetic door leading to the hospital (white bishop)
Locate one of two hermetic doors leading to the academy building (black bishop)
Locate one of two hermetic doors leading to barracks #1 (black pawn)
Locate one of two hermetic doors leading to barracks #2 (white pawn)
Locate the hermetic door leading to the building of the air control center (white king)
Survive and extract from the location","+9,200 EXP
Prapor Rep +0.03
25,000 Roubles
1× Kalashnikov AKS-74UB 5.45x39 assault rifle
120× 5.45x39mm BS gs
1× AK CAA RS47 handguard
1× AK-74M CAA AKTS AK74 buffer tube",Yes
Bad Rep Evidence,PickUp,"Obtain Secure Folder 0031 in a bunkhouse on Customs
(Optional) Gain access to the locked room on the third floor in the Factory office hallway
(Optional) Obtain the Portable bunkhouse key
Hand over the Secure Folder 0031 to Prapor
Survive and extract from Customs","+4,100 EXP
Prapor Rep +0.03
35,000 Roubles
1× PP-91-01 ""Kedr-B"" 9x18PM submachine gun
3× PP-91 ""Kedr"" 9x18PM 30-round magazine
120× 9x18mm PM PS gs PPO
Unlocks purchase of BelOMO PSO-1M2-1 4x24 scope at Prapor LL2
Unlocks purchase of SSSh-94 SFERA-S helmet at Prapor LL1",Yes
Ice Cream Cones,PickUp,"Find 3 AK-74 5.45x39 6L31 60-round magazine in raid
(Optional) Find the key to the bunker in the TerraGroup employee's dorm room
(Optional) Locate the correct bunker in Woods
Hand over 3 AK-74 5.45x39 6L31 60-round magazine to Prapor","+5,200 EXP
Prapor Rep +0.02
17,000 Roubles
1× RPK-16 5.45x39 light machine gun
200× 5.45x39mm PP gs
Unlocks barter for AK-74 5.45x39 6L31 60-round magazine at Prapor LL2",Yes
No Place for Renegades,Elimination,Eliminate 5 Raiders in the command bunker on Reserve,"+15,300 EXP
Prapor Rep +0.03
40,000 Roubles
1× Kalashnikov AK-103 7.62x39 assault rifle
3× AK-103 7.62x39 30-round magazine
150× 7.62x39mm PS gzh",Yes
Documents,PickUp,"Obtain Military documents №1 on Reserve
Obtain Military documents №2 on Reserve
Obtain Military documents №3 on Reserve
Hand over the first documents to Prapor
Hand over the second documents to Prapor
Hand over the third documents to Prapor","+7,800 EXP
Prapor Rep +0.04
45,000 Roubles
1× NSPU-M 3.5x dovetail night vision scope
1× Zenit Klesch-2P flashlight with laser
1× AKM PBS-1 7.62x39 sound suppressor",Yes
Postman Pat - Part 1,PickUp,"Obtain the letter on the messenger's body on Factory
Survive and extract from Factory
Hand over the letter to Therapist","+5,900 EXP
Prapor Rep +0.02
40,000 Roubles
1× ANA Tactical Beta 2 Battle backpack
1× 6B2 body armor (Flora)",Yes
Shaking up the Teller,PickUp,"Obtain the valuable item in dorm room 203 on Customs
(Optional) Gain access to dorm room 214
Hand over the valuable item to Prapor","+5,900 EXP
Prapor Rep +0.02
75,000 Roubles
1× Geiger-Muller counter
Unlocks purchase of AKS-74U PBS-4 5.45x39 sound suppressor at Prapor LL3
Unlocks purchase of Hexagon 12K 12ga sound suppressor at Skier LL2",Yes
The Punisher - Part 1,Elimination,Eliminate 15 Scavs while using an AKM series weapon on Shoreline,"+10,200 EXP
Prapor Rep +0.02
40,000 Roubles
1× 6B43 6A Zabralo-Sh body armor
Unlocks purchase of SV-98 7.62x54R bolt-action sniper rifle at Prapor LL3
Unlocks purchase of 7.62x39mm PS gzh at Prapor LL3",Yes
The Punisher - Part 2,Elimination,"Eliminate 12 Scavs while using a suppressed weapon on Reserve
Find 7 Lower half-masks in raid
Hand over the 7 half-masks","+13,100 EXP
Prapor Rep +0.03
50,000 Roubles
1× Kalashnikov AK-104 7.62x39 assault rifle
2× Military cable",Yes
The Punisher - Part 3,Elimination,Eliminate 25 Scavs while using an AKS-74U series assault rifle on Customs,"+11,700 EXP
Prapor Rep +0.04
Skier Rep +0.02
2,500 Dollars
1× Lobaev Arms DVL-10 7.62x51 bolt-action sniper rifle (Urbana variant)
Unlocks craft for 5.45x39mm PP gs at Workbench level 2",Yes
The Punisher - Part 4,Elimination,"Eliminate 10 Scavs while using a 12ga shotgun on Lighthouse
Eliminate 10 PMC operatives while wearing a balaclava (any type) and Scav Vest on Lighthouse
Find 5 Bars A-2607 95Kh18 knives in raid
Hand over the 5 Bars A-2607 95Kh18 knives","+18,000 EXP
Prapor Rep +0.03
100,000 Roubles
1× Colt M4A1 5.56x45 assault rifle (variant SOPMOD II)",Yes
The Punisher - Part 5,PickUp,"Find 1 AK-74N assault rifle in raid
Hand over 1 AK-74N assault rifle to Prapor
Find 1 M4A1 assault rifle in raid
Hand over 1 M4A1 assault rifle to Prapor
Find 2 PM 9x18PM pistols in raid
Hand over 2 PM 9x18PM pistols to Prapor
Eliminate 10 PMCs while wearing a PACA body armor and 6B47 helmet","+18,200 EXP
Prapor Rep +0.03
5,000 Dollars
1× Pistol case
1× Documents case
120× 7.62x39mm BP gzh",Yes
The Punisher - Part 6,Elimination,"Eliminate 15 PMCs while using SVD rifle (excluding Factory location)
Find 7 BEAR PMC dogtags
Hand over the BEAR dogtags
Find 7 USEC PMC dogtags
Hand over the USEC dogtags","+19,400 EXP
Prapor Rep +0.04
Therapist Rep +0.05
Skier Rep +0.01
250,000 Roubles
1× Secure container Epsilon
Unlocks purchase of 7.62x54mm R PS gzh at Prapor LL3",Yes
Anesthesia,Discovery,"Mark the first trading post with an MS2000 Marker on Shoreline
Mark the second trading post with an MS2000 Marker on Shoreline
Mark the third trading post with an MS2000 Marker on Shoreline
Survive and extract from the location","+18,100 EXP
Prapor Rep +0.04
50,000 Roubles
1× AS VAL 9x39 special assault rifle
100× 9x39mm SPP gs
100× 9x39mm SP-6 gs",Yes
Grenadier,Elimination,Eliminate 8 PMCs with grenades,"+18,000 EXP
Prapor Rep +0.02
75,000 Roubles
100× 12.7x55mm PS12B
5× F-1 hand grenade
5× VOG-17 Khattabka improvised hand grenade
5× VOG-25 Khattabka improvised hand grenade
2× RGN hand grenade
Unlocks craft for VOG-17 Khattabka improvised hand grenade at Workbench level 2",Yes
Test Drive - Part 1,Elimination,Eliminate 5 PMC operatives from over 60 meters away while using an M1A rifle with Hybrid 46 suppressor and Schmidt & Bender PM II 1-8x24 scope,"+18,200 EXP
Prapor Rep +0.02
1× VSS Vintorez 9x39 special sniper rifle
2× 9x39 SR3M.130 30-round magazine
120× 9x39mm PAB-9 gs
Unlocks craft for 9x39mm PAB-9 gs at Workbench level 3",Yes
Test Drive - Part 2,Elimination,"Eliminate 20 PMC operatives while using an SR-2M ""Veresk"" with a suppressor and KP-SR2 reflex sight on Streets of Tarkov","+28,000 EXP
Prapor Rep +0.02
300,000 Roubles
1× ASh-12 12.7x55 assault rifle
3× ASh-12 12.7x55 20-round magazine
60× 12.7x55mm PS12B
3× Golden neck chain",No
Test Drive - Part 3,Elimination,Eliminate 20 PMC operatives while using an AK-12 with a suppressor and Valday PS-320 1/6x scope on Lighthouse,"+35,300 EXP
Prapor Rep +0.02
400,000 Roubles
1× RPK-16 5.45x39 light machine gun
4× AK-74 5.45x39 6L31 60-round magazine
8× 5.45x39mm 7N40 ammo pack (30 pcs)",No
Test Drive - Part 4,Elimination,Eliminate 20 PMC operatives while using an RPDN with a 1P78-1 scope on Shoreline,"+40,000 EXP
Prapor Rep +0.02
460,000 Roubles
1× Tokarev AVT-40 7.62x54R automatic rifle
3× 7.62x54mm R SNB gzh ammo pack (20 pcs)
2× AVT-40 7.62x54R 15-round magazine",No
Perfect Mediator,Standing,"Reach level 4 loyalty with Ragman
Reach level 4 loyalty with Skier
Reach level 4 loyalty with Mechanic
Reach level 4 loyalty with Peacekeeper
Reach level 4 loyalty with Prapor
Reach level 4 loyalty with Therapist","+20,900 EXP
Prapor Rep +0.02
55,000 Roubles
1× T H I C C Weapon case",Yes
Polikhim Hobo,Elimination,Eliminate 25 Scavs on Customs,"+5,900 EXP
Prapor Rep +0.02
Jaeger Rep +0.01
50,000 Roubles
3× F-1 hand grenade
3× RGD-5 hand grenade
1× ""Zarya"" stun grenade",Yes
Regulated Materials,PickUp,"Find 1 6-STEN-140-M military battery in raid
Hand over 1 6-STEN-140-M military battery to Prapor
Find 5 OFZ 30x160mm shells in raid
Hand over 5 OFZ 30x160mm shells to Prapor","+14,800 EXP
Prapor Rep +0.02
150,000 Roubles
100× 12.7x55mm PS12B
Unlocks barter for ASh-12 12.7x55 assault rifle at Prapor LL4",Yes
Big Customer,Completion,"Find the transport with the chemicals
Mark the chemical transport vehicle with an MS2000 Marker
Survive and extract from Customs","+8,100 EXP
Prapor Rep +0.03
200,000 Roubles
2× Ammunition case
1× 6B2 body armor (Flora)",No
No Offence,PickUp,"Obtain 10 M67 grenades
Hand over 10 M67 grenades to Prapor",Prapor Rep +0.25,No
Capturing Outposts,Elimination,"Eliminate 8 PMC operatives at the Scav base on Customs
Eliminate 8 PMC operatives at the Scav base on Woods
Eliminate 8 PMC operatives at the River Station on Shoreline","+69,999 EXP
1× RFARMY armband
1× USEC armband
1× Rys-T bulletproof helmet
2× Rys-T face shield
1× 6B43 6A Zabralo-Sh body armor
Unlocks purchase of 9x39mm SP-6 gs at Prapor LL4",No
Intimidator,Elimination,Eliminate 40 Scavs with headshots,"+84,000 EXP
+1 Aim Drills skill level
+0.5 Assault Rifles skill level
Unlocks craft for 7.62x39mm BP gzh at Workbench level 3",Yes
